company_name,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,founded_year,ipo_year,matched_to,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,currency,total_articles,num_employees,use_cases,status,industry
LIBERTY PROPERTY TRUST,1572.0,1572.0,1572.0,607.0,,567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Estate
CNA FINANCIAL CORPORATION,1556.0,1679.0,1263.0,604.0,598.0,482.0,1897.0,,CNA Financial Corporation,12.215,12.707,12.809,8.825,2.73,3.579,3.099,-0.776,48.397,51.319,53.83,52.102,10.767,10.808,11.908,11.879,-0.225,-0.705,-1.228,-1.512,3.68,2.54,4.422369,,60.612,64.026,66.639,60.927,1.0,0.69,1.202,0.894,USD,,6100.0,,FALSE,Finance&Investments
COGNEX CORPORATION,1559.0,1348.0,1544.0,605.0,494.0,557.0,1981.0,1989.0,Cognex Corporation,1.35571,1.262202,1.430093,1.438394,1.35571,1.262202,1.430093,1.438394,0.530225,0.5385,0.573569,0.519746,0.725625,0.81102,1.037098,1.00609,-0.157336,0.169439,-0.252539,-0.004454,1.19,1.02,1.59,,1.885935,1.800702,2.003662,1.95814,0.203865,0.176186,0.279881,0.215525,USD,,2441.0,,FALSE,Technology&Electronics
COMERICA,1550.0,1965.0,1465.0,603.0,716.0,536.0,1849.0,,Comerica Incorporated,7.327,8.05,7.897,5.181,14.596,13.778,10.693,8.205,66.075,80.079,86.719,80.225,3.343,2.912,2.967,3.534,-0.494,-4.602,1.723,-9.952,7.98,3.45,8.45,,73.402,88.129,94.616,85.406,1.198,0.474,1.168,1.151,USD,0.0,7586.0,['Finance&Tokens'],TRUE,Finance&Investments
TARGA RESOURCES,1542.0,1943.0,1591.0,601.0,848.0,574.0,2005.0,2010.0,Targa Resources Corp.,8.7217,6.2046,5.9284,4.9822,12.614,10.3237,9.1822,13.1748,10.0934,9.6711,9.2798,14.5778,8.6711,8.2603,16.9498,20.9298,-3.0719,-0.7381,-0.4732,-4.1497,-1.44,-7.26,-0.07,,18.8151,15.8757,15.2082,19.56,-0.2092,-1.5539,0.0712,1.1955,USD,,2850.0,,FALSE,Resources&Materials
JACK HENRY & ASSOCIATES,1567.0,1573.0,1350.0,606.0,541.0,501.0,1976.0,1985.0,"Jack Henry & Associates, Inc.",1.322844,1.549688,1.319292,1.381623,1.322844,1.549688,1.319292,1.381623,0.710214,0.878786,1.016864,1.073941,1.552691,1.697067,1.758225,1.942884,-0.190635,-0.197906,-0.16225,-0.196344,3.531519,3.871451,4.208912,4.979718,2.033058,2.428474,2.336156,2.455564,0.271885,0.296668,0.311469,0.362916,USD,0.0,6847.0,['Finance&Tokens'],TRUE,IT&Software
GODADDY,1545.0,1640.0,1316.0,602.0,495.0,493.0,1997.0,2015.0,GoDaddy Inc.,0.7821,-0.0118,0.0832,-0.3293,3.1488,3.0772,3.9399,3.4811,5.5191,6.4447,7.3339,7.3028,2.9881,3.3167,3.8157,4.0913,-0.1353,-0.4823,-0.6356,-0.132,0.79,-2.94,1.44,2.22,6.3012,6.4329,7.4171,6.9735,0.137,-0.4951,0.2423,0.3522,USD,,6910.0,,FALSE,IT&Software
IAC/INTERACTIVECORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Communication&Entertainment
AES CORPORATION,1317.0,1327.0,1178.0,522.0,450.0,453.0,1981.0,,The AES Corporation,5.229,4.72,4.567,4.504,21.301,21.085,20.13,24.177,28.419,29.883,28.396,33.859,10.189,9.66,11.141,12.617,-2.721,-2.295,-3.051,-5.836,0.46,0.07,-0.61,,33.648,34.603,32.963,38.363,0.303,0.046,-0.409,-0.546,USD,0.0,9100.0,,FALSE,Resources&Materials
AXA EQUITABLE HOLDINGS,1404.0,1595.0,1169.0,549.0,574.0,449.0,1859.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,96595.0,,FALSE,Finance&Investments
FIRST CITIZENS BANCSHARES,1405.0,2181.0,2416.0,550.0,899.0,813.0,1898.0,,"First Citizens BancShares, Inc.",3.570872,4.229268,4.737241,9.662,4.470099,5.477431,5.931619,14.121,36.253624,45.728412,53.570899,99.636,1.72723,1.864919,1.838593,4.541,-1.558469,-9.871758,-7.568426,0.075,41.05,47.5,53.88,,39.824496,49.95768,58.30814,109.298,0.457371,0.491723,0.547459,1.098,USD,,10375.0,,FALSE,Finance&Investments
PLUG POWER,1400.0,1407.0,7981.0,547.0,491.0,,1997.0,1999.0,Plug Power Inc.,0.134679,1.506034,4.605696,4.060214,0.424509,1.742113,4.911123,4.258058,0.636505,0.910103,1.34438,1.704062,0.230239,-0.100469,0.502342,0.70144,-0.014244,-0.095334,-1.740891,-0.67937,-0.36,-1.6800000000000002,-0.8200000000000001,-1.25,0.771184,2.416137,5.950076,5.764276,-0.085465,-0.561682,-0.459965,-0.724008,USD,,3353.0,,FALSE,Technology&Electronics
MARKETAXESS HOLDINGS,1398.0,1184.0,1086.0,546.0,355.0,422.0,2000.0,2004.0,MarketAxess Holdings Inc.,0.770091,0.955061,1.041309,1.081093,0.770091,0.955061,1.041309,1.081093,0.184839,0.376368,0.489143,0.526682,0.511352,0.689125,0.698951,0.7183,-0.122051,0.068867,-0.067694,-0.086272,5.53,8.01,6.88,,0.95493,1.331429,1.530452,1.607775,0.204902,0.299377,0.257888,0.250224,USD,,744.0,,FALSE,IT&Software
FORMULA ONE GROUP,1401.0,1734.0,1435.0,548.0,623.0,525.0,1950.0,,Formula One Group,5.241,6.555,6.94,,10.916,10.1,9.276,,6.264,4.636,4.724,,2.022,1.145,2.136,,0.037,0.075,-0.6,,-1.35,-2.5700000000000003,-0.8200000000000001,,11.505,11.191,11.664,,-0.311,-0.596,-0.19,,USD,29.0,700.0,"['Finance&Tokens', 'NFT&Gaming']",TRUE,Communication&Entertainment
HOWMET AEROSPACE,1390.0,1525.0,,545.0,562.0,,1888.0,,Howmet Aerospace Inc.,4.621,3.58,3.508,3.601,9.513,8.279,7.735,7.763,12.957,7.866,6.711,6.654,14.192,5.259,4.972,5.663,0.583,0.271,0.107,-0.135,1.05,0.59,0.6000000000000001,1.12,17.578,11.446,10.219,10.255,0.47,0.261,0.258,0.469,USD,,21400.0,,FALSE,Transport&Aerospace
ABIOMED,1389.0,1271.0,1918.0,544.0,479.0,664.0,1981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0,,FALSE,Healthcare
"ALBERTSONS COMPANIES, INC.",1383.0,1478.0,,543.0,686.0,,1939.0,2020.0,"Albertsons Companies, Inc.",,2.2781,1.3243,3.0246,,10.7714,9.4255,10.1609,,22.457,25.2737,25.0984,,62.4551,69.6904,71.887,,-0.3785,-1.572,-1.5389,,0.8,1.53,2.73,,24.7351,26.598,28.123,,0.4664,0.8502,1.6196,USD,,107300.0,,FALSE,Retail&ECommerce
TELEFLEX,1366.0,1166.0,912.0,538.0,379.0,363.0,1943.0,,Teleflex Incorporated,2.97932,3.336457,3.754748,4.021968,4.838263,5.714345,5.49485,5.645991,3.3305,3.816102,3.116974,2.906095,2.595362,2.537156,2.809563,2.791041,-0.073481,-0.837783,0.156737,-0.257941,9.99,7.21,10.38,7.74,6.30982,7.152559,6.871722,6.928063,0.461466,0.335324,0.485374,0.363139,USD,,15500.0,,FALSE,Healthcare
WISH,1383.0,1383.0,1383.0,542.0,533.0,515.0,2010.0,,ContextLogic Inc.,-1.439,1.027,0.818,0.477,-1.439,1.027,0.818,0.477,2.805,1.37,0.465,0.322,1.901,2.541,2.085,0.571,-0.04,0.165,-0.003,-0.047,-7.187979,-176.1,-17.1,-17.1,1.366,2.397,1.283,0.799,-0.129,-0.745,-0.361,-0.384,USD,,886.0,,FALSE,Communication&Entertainment
LYFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,FALSE,IT&Software
CF INDUSTRIES HOLDINGS,1365.0,1987.0,1480.0,537.0,690.0,540.0,1946.0,2005.0,"CF Industries Holdings, Inc.",5.637,5.603,6.036,7.853,6.854,6.634,6.671,8.016,6.535,6.42,6.339,5.46,4.59,4.124,6.538,11.186,-0.319,-0.299,-0.466,-0.44,2.24,1.48,4.27,16.45,12.172,12.023,12.375,13.313,0.493,0.317,0.917,3.346,USD,,2700.0,,FALSE,Resources&Materials
INTERPUBLIC GROUP OF COMPANIES,1368.0,1437.0,1717.0,539.0,645.0,610.0,1930.0,,"The Interpublic Group of Companies, Inc.",2.9903,3.037,3.6048,3.7443,5.5478,5.8108,6.4346,6.5186,14.7616,15.0057,16.3044,15.1007,10.2213,9.061,10.2407,10.9278,-0.1617,-0.2162,-0.1853,-0.4301,1.7000000000000002,0.9,2.42,2.4,17.7519,18.0427,19.9092,18.845,0.656,0.3511,0.9528,0.938,USD,0.0,58400.0,['Data_managment&Security'],TRUE,Communication&Entertainment
ADVANCE AUTO PARTS,1362.0,1598.0,1382.0,536.0,596.0,513.0,1932.0,,"Advance Auto Parts, Inc.",3.549081,3.559512,3.128291,2.678281,4.296401,4.592496,4.162611,3.866564,7.699444,8.280124,9.065918,9.340201,9.709003,10.106321,10.997989,11.154722,-0.462939,-0.266897,-0.287314,-0.424448,6.87,7.17,9.62,,11.248525,11.839636,12.194209,12.018482,0.486896,0.493021,0.616108,0.501872,USD,,40000.0,,FALSE,Transport&Aerospace
THE MOSAIC COMPANY,1361.0,1658.0,1808.0,535.0,670.0,638.0,2004.0,,The Mosaic Company,9.3676,9.7552,10.7485,12.1942,13.711,13.6552,13.9863,14.4665,9.9309,10.0346,11.2879,11.1918,8.9063,8.6817,12.3574,19.1252,-1.3609,-1.1895,-1.3223,-1.2596,-2.78,1.76,4.31,10.17,19.2985,19.7898,22.0364,23.386,-1.0674,0.6661,1.6306,3.5828,USD,,13570.0,,FALSE,Resources&Materials
EQUITY LIFESTYLE PROPERTIES,1359.0,1335.0,1197.0,534.0,566.0,459.0,1992.0,,"Equity LifeStyle Properties, Inc.",1.321888,1.304755,1.486171,1.517485,3.498268,3.678617,4.340329,4.635389,2.829387,3.114214,3.8217,3.975034,1.020521,1.080268,1.260123,1.431097,-0.352089,-0.450379,-0.914455,-0.525589,1.54,1.26,1.43,1.53,4.151275,4.418969,5.307871,5.492519,0.279139,0.228284,0.262478,0.284627,USD,,4200.0,,FALSE,Estate
W. R. BERKLEY CORPORATION,1357.0,1552.0,1216.0,533.0,553.0,468.0,1967.0,,W. R. Berkley Corporation,6.118342,6.325797,6.653011,6.748332,6.074939,6.310802,6.653011,6.748332,26.643428,28.606913,25.433403,27.112767,7.932911,8.098562,9.481191,11.217429,-0.424871,0.119696,-2.989146,-1.891355,2.386667,1.89,3.69,,26.643428,28.606913,32.086414,33.861099,0.681944,0.53067,1.02249,1.381062,USD,,8186.0,,FALSE,Finance&Investments
WARNER BROS. DISCOVERY INC,1348.0,1505.0,948.0,532.0,505.0,375.0,1985.0,,"Warner Bros. Discovery, Inc.",11.966,12.383,13.396,48.667,24.701,25.533,26.019,95.729,21.769,21.704,21.031,85.334,11.144,10.671,12.191,33.817,-0.438,-0.703,-0.056,3.524,2.9,1.82,1.55,-3.82,33.735,34.087,34.427,134.001,2.069,1.219,1.006,-7.371,USD,,37500.0,,FALSE,Communication&Entertainment
MASIMO CORPORATION,1433.0,1409.0,1777.0,560.0,476.0,627.0,1989.0,2007.0,Masimo Corporation,1.167874,1.40764,1.550245,1.3389,1.167874,1.40766,1.550245,2.2805,0.228254,0.304912,0.336765,1.8717,0.937837,1.143744,1.239153,2.0358,-0.197681,-0.082787,-0.037529,-1.0576,3.67,4.39,4.16,2.68,1.396128,1.712552,1.88701,3.2106,0.196216,0.240302,0.229647,0.1435,USD,,4000.0,,FALSE,Healthcare
C.H. ROBINSON WORLDWIDE,1429.0,1699.0,1431.0,559.0,527.0,524.0,1905.0,1997.0,"C.H. Robinson Worldwide, Inc.",1.67073,1.879933,2.021934,1.353422,2.763178,2.973234,3.415583,2.273471,2.97033,3.264325,5.006178,4.601142,15.309508,16.207106,23.102138,24.696625,-0.113029,-0.271714,-0.085672,-0.064918,4.21,3.74,6.37,,4.64106,5.144258,7.028112,5.954564,0.576968,0.506421,0.844245,0.940524,USD,,16902.0,,FALSE,Logistics&Transportation
CENTURYLINK,1428.0,1530.0,1076.0,558.0,595.0,420.0,1968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000.0,,FALSE,Communication&Entertainment
HASBRO,1422.0,1535.0,1062.0,557.0,525.0,416.0,1923.0,,"Hasbro, Inc.",2.99553,2.961163,3.087,2.8619,7.041987,7.596752,6.8873,6.5731,5.860098,7.857222,6.9508,6.434,4.720227,5.465443,6.4204,5.8567,-0.060955,-4.500231,0.242,-0.313,4.07,1.62,3.11,1.47,8.855628,10.818385,10.0378,9.2959,0.520454,0.222519,0.4287,0.2035,USD,,6490.0,,FALSE,Communication&Entertainment
MARATHON OIL CORPORATION,1420.0,2070.0,1377.0,556.0,937.0,511.0,1887.0,,Marathon Oil Corporation,12.153,10.561,10.686,11.397,17.654,15.965,14.664,16.918,8.092,7.395,6.308,8.543,5.063,3.097,5.601,7.54,-2.818,-1.303,-1.01,-4.605,0.59,-1.83,1.2,5.27,20.245,17.956,16.994,19.94,0.48,-1.451,0.946,3.612,USD,0.0,1570.0,,FALSE,Resources&Materials
F5 INC,1419.0,1653.0,1750.0,555.0,590.0,620.0,1996.0,1999.0,"F5, Inc.",1.761497,2.232268,2.360213,2.468978,1.761497,2.601315,2.709985,2.468978,1.628778,2.445652,2.637067,2.807216,2.242447,2.350822,2.603416,2.695845,-0.414634,-0.747002,-0.445335,0.218116,7.12,5.05,5.46,5.34,3.390275,4.67792,4.99728,5.276194,0.427734,0.307441,0.331241,0.32216,USD,,7018.0,,FALSE,IT&Software
LPL FINANCIAL HOLDINGS,1417.0,1698.0,1960.0,554.0,691.0,672.0,1989.0,2010.0,LPL Financial Holdings Inc.,1.023873,1.314854,1.670533,2.167552,3.422691,3.660268,4.484577,4.884996,4.856365,5.208717,6.321067,7.314674,2.042224,1.997543,2.350303,3.063701,-0.180987,-0.187499,-0.458641,-0.3764,6.78,5.96,5.75,10.6,5.880238,6.523571,7.9916,9.482226,0.55988,0.47264,0.459866,0.845702,USD,,6648.0,,FALSE,Finance&Investments
10X GENOMICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Healthcare
TOAST,1409.0,1269.0,2707.0,552.0,910.0,887.0,2012.0,2021.0,"Toast, Inc.",-0.330426,-0.470976,1.091,1.098,-0.330426,-0.299267,1.091,1.098,0.636168,1.246932,0.644,0.663,0.665,0.823134,1.705,2.731,-0.047,-0.03586,-0.503,-0.098,-0.453186,-0.5399200000000001,-1.6800000000000002,-0.54,0.305742,0.775956,1.735,1.761,-0.209,-0.248203,-0.487,-0.275,USD,,4500.0,,FALSE,IT&Software
MOLINA HEALTHCARE,1199.0,1344.0,1799.0,500.0,531.0,636.0,1980.0,2003.0,"Molina Healthcare, Inc.",1.96,2.096,2.63,2.964,3.197,4.223,4.803,5.14,4.827,7.436,9.579,9.35,16.829,19.423,27.771,31.974,-0.293,-0.4,-1.653,-0.79,11.85,11.4,11.362069,,6.787,9.532,12.209,12.314,0.737,0.673,0.659,0.792,USD,,15000.0,,FALSE,Healthcare
LKQ CORPORATION,1196.0,1360.0,1386.0,498.0,594.0,516.0,1998.0,,LKQ Corporation,5.04858,5.6713,5.786584,5.491,8.724265,8.468359,8.548904,8.075,7.731376,6.689233,6.81957,6.547,12.506109,11.62883,13.088504,12.794,-0.264853,-0.165887,-0.418758,0.172,1.76,2.1,3.68,4.15,12.779956,12.360533,12.606154,12.038,0.54126,0.638423,1.090873,1.149,USD,,45000.0,,FALSE,Transport&Aerospace
QORVO,1194.0,1045.0,1170.0,497.0,382.0,450.0,2015.0,,"Qorvo, Inc.",,4.292665,4.629425,4.553218,,5.859896,6.371975,6.600316,,2.268017,2.592045,2.955854,,3.239141,4.015307,4.645714,,-1.105742,-0.218658,-0.595956,,2.916685,6.43,9.529996,,6.560682,7.22147,7.509072,,0.334325,0.733611,1.033353,USD,,8900.0,,FALSE,Technology&Electronics
BURLINGTON STORES,1198.0,1079.0,1024.0,499.0,405.0,403.0,1972.0,2013.0,"Burlington Stores, Inc.",,0.528149,0.464754,0.760417,,1.529872,2.392524,2.301519,,5.06571,6.316338,6.329096,,7.286398,5.76398,9.322256,,-0.324598,-0.274132,-0.344389,,7.05,-3.28,6.14,,5.593859,6.781092,7.089513,,0.465116,-0.216499,0.408839,USD,,14869.0,,FALSE,Retail&ECommerce
CAMDEN PROPERTY TRUST,1192.0,1386.0,1468.0,496.0,624.0,537.0,1993.0,1993.0,Camden Property Trust,3.701724,3.516587,4.266255,5.056921,6.152784,6.61153,7.367857,8.667533,3.04678,3.682365,3.710529,4.271014,1.028461,1.043837,1.143585,1.422756,-0.792445,-0.429602,-0.804391,-1.456184,2.23,1.24,2.97,6.07,6.748504,7.198952,7.976784,9.327935,0.219623,0.123911,0.303907,0.653613,USD,,1650.0,,FALSE,Estate
MARKEL CORPORATION,1187.0,1222.0,982.0,495.0,489.0,387.0,1930.0,1986.0,Markel Corporation,11.255978,12.799789,15.179286,13.651479,14.60505,16.283812,19.056314,17.169163,37.473815,28.910265,48.448866,49.791259,9.523926,9.639213,12.918696,11.815544,-0.535159,-0.511748,-2.937802,-1.670204,129.25,55.67,176.92,-23.57,37.473815,41.710054,48.448866,49.791259,1.790466,0.81603,2.425003,-0.214123,USD,0.0,20900.0,['Finance&Tokens'],TRUE,Finance&Investments
INSULET CORPORATION,1180.0,1056.0,1458.0,493.0,412.0,534.0,2000.0,2007.0,Insulet Corporation,0.0759,0.6036,0.5563,0.4764,0.9638,1.6473,1.8051,1.8507,1.067,1.2693,1.4925,1.7747,0.7382,0.9044,1.0988,1.3053,-0.0736,0.014,-0.0827,-0.1911,0.19,0.11,0.25,0.07,1.1429,1.8729,2.0488,2.2511,0.0116,0.0068,0.0168,0.0046,USD,,2600.0,,FALSE,Healthcare
TEXTRON,1181.0,1295.0,1469.0,494.0,586.0,538.0,1923.0,,Textron Inc.,5.518,5.845,6.815,7.113,8.081,9.043,9.994,10.288,9.5,9.555,9.012,9.18,13.63,11.651,12.382,12.869,-0.266,-0.248,-0.281,-0.447,3.52,1.35,3.33,4.05,15.018,15.4,15.827,16.293,0.815,0.309,0.746,0.861,USD,,34000.0,,FALSE,Transport&Aerospace
